scientific_name,common_name,description,plant_anatomy,sunlight,soil,leaf,flowers,fruits,watering,cycle,origin,care_level,maintenance,growth_rate,text
['Abies alba'],European Silver Fir,"European Silver Fir (Abies alba) is an amazing coniferous species native to mountainous regions of central Europe and the Balkans. It is an evergreen tree with a narrow, pyramidal shape and long, soft needles. Its bark is scaly grey-brown and its branches are highly ornamental due to its conical-shaped silver-tinged needles. It is pruned for use as an ornamental evergreen hedging and screening plant, and is also popular for use as a Christmas tree. Young trees grow quickly and have strong, flexible branches which makes them perfect for use as windbreaks. The European Silver Fir is an impressive species, making it ideal for gardens and public spaces.",,['full sun'],,True,False,False,Frequent,Perennial,"['Austria', 'Germany', 'Switzerland', 'France', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Serbia', 'Montenegro', 'Albania', 'Bulgaria', 'Romania', 'Ukraine', 'Poland', 'Czech Republic', 'Slovakia', 'Hungary']",Medium,,High,"European Silver Fir (Abies alba) is an amazing coniferous species native to mountainous regions of central Europe and the Balkans. It is an evergreen tree with a narrow, pyramidal shape and long, soft needles. Its bark is scaly grey-brown and its branches are highly ornamental due to its conical-shaped silver-tinged needles. It is pruned for use as an ornamental evergreen hedging and screening plant, and is also popular for use as a Christmas tree. Young trees grow quickly and have strong, flexible branches which makes them perfect for use as windbreaks. The European Silver Fir is an impressive species, making it ideal for gardens and public spaces. [] ['full sun'] [] True False False Frequent Perennial ['Austria', 'Germany', 'Switzerland', 'France', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Serbia', 'Montenegro', 'Albania', 'Bulgaria', 'Romania', 'Ukraine', 'Poland', 'Czech Republic', 'Slovakia', 'Hungary'] Medium High"
"[""Abies alba 'Pyramidalis'""]",Pyramidalis Silver Fir,"Pyramidalis Silver Fir (Abies alba 'Pyramidalis') is an amazing coniferous tree species. Its narrow, elegant pyramidal shape makes it ideal for landscapes with limited space. This species features bright silver-green foliage year-round and distinctive yellowish brown cones that hold its unique shape for years. It also displays purple-tinged shoots in the spring and a showy red bark in the winter. Its slow growth and hardiness make it an ideal addition to any landscape. The Pyramidalis Silver Fir also requires minimal maintenance and can be an excellent companion for many other plants in the garden. From small yards to large gardens, this species will create a majestic and interesting landscape.","[{'part': 'leaves', 'color': ['dark-green']}, {'part': 'branches', 'color': ['dark-brown']}, {'part': 'twigs', 'color': ['brown']}]",['full sun'],,True,False,False,Average,Perennial,"['Austria', 'Germany', 'Switzerland', 'Italy', 'France', 'Slovenia', 'Croatia']",Medium,,Low,"Pyramidalis Silver Fir (Abies alba 'Pyramidalis') is an amazing coniferous tree species. Its narrow, elegant pyramidal shape makes it ideal for landscapes with limited space. This species features bright silver-green foliage year-round and distinctive yellowish brown cones that hold its unique shape for years. It also displays purple-tinged shoots in the spring and a showy red bark in the winter. Its slow growth and hardiness make it an ideal addition to any landscape. The Pyramidalis Silver Fir also requires minimal maintenance and can be an excellent companion for many other plants in the garden. From small yards to large gardens, this species will create a majestic and interesting landscape. [{'part': 'leaves', 'color': ['dark-green']}, {'part': 'branches', 'color': ['dark-brown']}, {'part': 'twigs', 'color': ['brown']}] ['full sun'] [] True False False Average Perennial ['Austria', 'Germany', 'Switzerland', 'Italy', 'France', 'Slovenia', 'Croatia'] Medium Low"
['Abies concolor'],White Fir,"White Fir (Abies concolor) is an amazing evergreen tree species found in the western United States. It has a distinct white bark that fades to a yellowish hue on the lower branches and a graceful, conical shape. The beautiful Blue-green needles of White Fir are soft and tufted at the end and release a pleasant Christmas-like aroma when crushed. This sturdy species can grow up to 300 feet tall and over 140 years old, making it one of the longest living species in the world. It is highly adaptable, drought-tolerant, and very low maintenance with minimal pruning requirements. White Fir is an excellent choice for privacy screens, windbreaks, and living Christmas trees.","[{'part': 'leaves', 'color': ['silver-green', 'silvery-green']}, {'part': 'branches', 'color': ['silver', 'green-brown', 'silver-brown']}, {'part': 'needles', 'color': ['silvery-green']}, {'part': 'stem', 'color': ['brown']}]","['Full sun', 'part shade']","['Acidic', ' Rocky ', ' gravelly ', ' dry', ' Well-drained']",True,True,False,Average,Perennial,"['Western United States', 'Mexico']",Moderate,Moderate,Low,"White Fir (Abies concolor) is an amazing evergreen tree species found in the western United States. It has a distinct white bark that fades to a yellowish hue on the lower branches and a graceful, conical shape. The beautiful Blue-green needles of White Fir are soft and tufted at the end and release a pleasant Christmas-like aroma when crushed. This sturdy species can grow up to 300 feet tall and over 140 years old, making it one of the longest living species in the world. It is highly adaptable, drought-tolerant, and very low maintenance with minimal pruning requirements. White Fir is an excellent choice for privacy screens, windbreaks, and living Christmas trees. [{'part': 'leaves', 'color': ['silver-green', 'silvery-green']}, {'part': 'branches', 'color': ['silver', 'green-brown', 'silver-brown']}, {'part': 'needles', 'color': ['silvery-green']}, {'part': 'stem', 'color': ['brown']}] ['Full sun', 'part shade'] ['Acidic', ' Rocky ', ' gravelly ', ' dry', ' Well-drained'] True True False Average Perennial ['Western United States', 'Mexico'] Moderate Moderate Low"
"[""Abies concolor 'Candicans'""]",Candicans White Fir,"Candicans White Fir is one of the most amazing species of fir tree. Its vibrant, powdery-white needles make it a real show-stopper in the winter and spring. The light color is also resistant to bronzing or discoloration, so the brilliant hue is maintained for many years. It also has a unique branch structure with a strong central leader and shorter lateral branches creating an eye-catching silhouette. This species is hardy and tolerant to a variety of soil types, making it a great choice for difficult areas. Its fast growth rate creates an impressive display quickly, making it an excellent choice to add curb appeal to your landscape.","[{'part': 'stems', 'color': ['brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'leaves', 'color': ['dark-green']}]",['full sun'],,True,False,False,Average,Perennial,['United States'],Medium,,Low,"Candicans White Fir is one of the most amazing species of fir tree. Its vibrant, powdery-white needles make it a real show-stopper in the winter and spring. The light color is also resistant to bronzing or discoloration, so the brilliant hue is maintained for many years. It also has a unique branch structure with a strong central leader and shorter lateral branches creating an eye-catching silhouette. This species is hardy and tolerant to a variety of soil types, making it a great choice for difficult areas. Its fast growth rate creates an impressive display quickly, making it an excellent choice to add curb appeal to your landscape. [{'part': 'stems', 'color': ['brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'leaves', 'color': ['dark-green']}] ['full sun'] [] True False False Average Perennial ['United States'] Medium Low"
['Abies fraseri'],Fraser Fir,"The Fraser Fir (Abies fraseri) is an amazing tree species with many great qualities. It is a dense evergreen conifer native to the Appalachian mountains. Its pyramidal shape and glossy dark green needles, that curve upward, make it a beautiful and popular Christmas tree. Its needles are short, soft, flat and pleasant to the touch. It has been found to be highly resistant to pests, diseases, and environmental stress. Additionally, it has superior winter hardiness and a strong wood that produces very little sap. This incredible species is perfect for a variety of evergreen applications and is guaranteed to bring a unique and beautiful look to any landscape.","[{'part': 'leaves', 'color': ['dark-green']}, {'part': 'cones', 'color': ['light-green']}, {'part': 'branches', 'color': ['silver']}]","['full sun', 'part shade', 'filtered shade']",['Well-drained'],True,True,False,Frequent,Perennial,['Southeastern United States'],Medium,Moderate,Moderate,"The Fraser Fir (Abies fraseri) is an amazing tree species with many great qualities. It is a dense evergreen conifer native to the Appalachian mountains. Its pyramidal shape and glossy dark green needles, that curve upward, make it a beautiful and popular Christmas tree. Its needles are short, soft, flat and pleasant to the touch. It has been found to be highly resistant to pests, diseases, and environmental stress. Additionally, it has superior winter hardiness and a strong wood that produces very little sap. This incredible species is perfect for a variety of evergreen applications and is guaranteed to bring a unique and beautiful look to any landscape. [{'part': 'leaves', 'color': ['dark-green']}, {'part': 'cones', 'color': ['light-green']}, {'part': 'branches', 'color': ['silver']}] ['full sun', 'part shade', 'filtered shade'] ['Well-drained'] True True False Frequent Perennial ['Southeastern United States'] Medium Moderate Moderate"
"[""Abies koreana 'Aurea'""]",Golden Korean Fir,"The Golden Korean Fir is truly awe inspiring. Its stunning golden-green foliage and soft pink cones make it a majestic wonder to behold. This evergreen tree grows quickly and is remarkably tough and resistant to brittleness. Its branches form a distinctive cone shape that gives it a modern, contemporary look. Its needles are soft and full of pleasant aroma. This amazing specimen requires minimal maintenance and is an ideal focal point for landscaping and garden design. Its unique foliage, easy upkeep and attitude of durability make it a stunning and reliable addition to any garden.","[{'part': 'trunk', 'color': ['brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'leaves', 'color': ['green', 'yellow-green', 'silver-yellow-green']}, {'part': 'twigs', 'color': ['silver-brown', 'white-silver']}, {'part': 'cones', 'color': ['violet-purple']}]","['Full sun', 'part shade']",['Well-drained'],True,True,False,Average,Perennial,['North and South Korea'],Medium,Moderate,Low,"The Golden Korean Fir is truly awe inspiring. Its stunning golden-green foliage and soft pink cones make it a majestic wonder to behold. This evergreen tree grows quickly and is remarkably tough and resistant to brittleness. Its branches form a distinctive cone shape that gives it a modern, contemporary look. Its needles are soft and full of pleasant aroma. This amazing specimen requires minimal maintenance and is an ideal focal point for landscaping and garden design. Its unique foliage, easy upkeep and attitude of durability make it a stunning and reliable addition to any garden. [{'part': 'trunk', 'color': ['brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'leaves', 'color': ['green', 'yellow-green', 'silver-yellow-green']}, {'part': 'twigs', 'color': ['silver-brown', 'white-silver']}, {'part': 'cones', 'color': ['violet-purple']}] ['Full sun', 'part shade'] ['Well-drained'] True True False Average Perennial ['North and South Korea'] Medium Moderate Low"
['Abies lasiocarpa'],Alpine Fir,"The Alpine Fir, scientifically known as Abies lasiocarpa, is an amazing conifer native to western North America. Its stiff, dense needles bring vivid color year-round and its pyramidal growth habit adds texture and interest to any landscape. With its tolerance to a variety of soils and conditions, this evergreen is both versatile and visually striking. Its branches reach out and cast a unique evergreen form of showy clouds. Through years of growth, it develops a sturdy trunk and crooked branches that are quite striking. Alpine Fir also provides winter cover and shelter for wildlife. Its dense needles are an ideal refuge from cold and precipitation. Its strong branches and trunk also provide perching points for nesting birds. Alpine Fir is truly one of nature’s most diverse and visually stunning plants.","[{'part': 'leaves', 'color': ['green']}, {'part': 'buds', 'color': ['brown']}, {'part': 'twig', 'color': ['silver-brown']}, {'part': 'bristles', 'color': ['green']}, {'part': 'twigs', 'color': ['silver-brown', 'brown']}, {'part': 'needles', 'color': ['green']}, {'part': 'trunk', 'color': ['green-silver', 'dark-brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'trunks', 'color': ['light-gray']}]","['full sun', 'part shade']",['Loamy Rocky'],True,True,False,Average,Perennial,"['Canada', 'United States', 'Mexico', 'Guatemala', 'Honduras', 'El Salvador', 'Nicaragua', 'Costa Rica', 'Panama']",Medium,,Low,"The Alpine Fir, scientifically known as Abies lasiocarpa, is an amazing conifer native to western North America. Its stiff, dense needles bring vivid color year-round and its pyramidal growth habit adds texture and interest to any landscape. With its tolerance to a variety of soils and conditions, this evergreen is both versatile and visually striking. Its branches reach out and cast a unique evergreen form of showy clouds. Through years of growth, it develops a sturdy trunk and crooked branches that are quite striking. Alpine Fir also provides winter cover and shelter for wildlife. Its dense needles are an ideal refuge from cold and precipitation. Its strong branches and trunk also provide perching points for nesting birds. Alpine Fir is truly one of nature’s most diverse and visually stunning plants. [{'part': 'leaves', 'color': ['green']}, {'part': 'buds', 'color': ['brown']}, {'part': 'twig', 'color': ['silver-brown']}, {'part': 'bristles', 'color': ['green']}, {'part': 'twigs', 'color': ['silver-brown', 'brown']}, {'part': 'needles', 'color': ['green']}, {'part': 'trunk', 'color': ['green-silver', 'dark-brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'trunks', 'color': ['light-gray']}] ['full sun', 'part shade'] ['Loamy Rocky'] True True False Average Perennial ['Canada', 'United States', 'Mexico', 'Guatemala', 'Honduras', 'El Salvador', 'Nicaragua', 'Costa Rica', 'Panama'] Medium Low"
"[""Abies pinsapo 'Glauca'""]",Blue Spanish Fir,"The Blue Spanish Fir (Abies pinsapo 'Glauca') is an amazing plant that is native to the mountains of southern Spain. Its beautiful blue needle-like foliage and pyramidal shape set it apart from other coniferous trees. This tree is an extremely hardy species, and can survive temperatures as low as -20 Fahrenheit. It is also incredibly drought tolerant, but will thrive with regular watering in the summer. Its striking blue color makes it the perfect accent to any landscaping design, adding a pop of color to your garden. It is also surprisingly fast-growing, making it ideal for creating a privacy screen quickly. All in all, the Blue Spanish Fir is an amazing plant that can bring year-round beauty to any garden!","[{'part': 'cones', 'color': ['green', 'light-green']}, {'part': 'leaves', 'color': ['dark-green']}, {'part': 'stems', 'color': ['brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'twigs', 'color': ['brown']}]","['Full sun', 'part shade']",,True,True,False,Average,Perennial,['Southern Spain'],Medium,Moderate,Low,"The Blue Spanish Fir (Abies pinsapo 'Glauca') is an amazing plant that is native to the mountains of southern Spain. Its beautiful blue needle-like foliage and pyramidal shape set it apart from other coniferous trees. This tree is an extremely hardy species, and can survive temperatures as low as -20 Fahrenheit. It is also incredibly drought tolerant, but will thrive with regular watering in the summer. Its striking blue color makes it the perfect accent to any landscaping design, adding a pop of color to your garden. It is also surprisingly fast-growing, making it ideal for creating a privacy screen quickly. All in all, the Blue Spanish Fir is an amazing plant that can bring year-round beauty to any garden! [{'part': 'cones', 'color': ['green', 'light-green']}, {'part': 'leaves', 'color': ['dark-green']}, {'part': 'stems', 'color': ['brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'twigs', 'color': ['brown']}] ['Full sun', 'part shade'] [] True True False Average Perennial ['Southern Spain'] Medium Moderate Low"
['Abies procera'],Noble Fir,"The Noble Fir (Abies procera) is an amazing species in many ways. It is a tall and stately tree with a beautiful, conical shape; its symmetrical branches are heavily laden with needles that range from a deep, glossy green to a deep blue-green. It has a thick, scaly bark and splendid foliage that make it an ideal choice for any garden. Its wide, dense growth provides shelter to wildlife, while its strong branches provide it with excellent resistance to windstorms. The Noble Fir is a long-lasting species with impressive longevity, making it a great addition to any landscape. With its majestic form, lush color, and great strength, the Noble Fir is a remarkable species that will enhance any outdoor space.","[{'part': 'trunk', 'color': ['brown', 'light-brown', 'white-brown']}, {'part': 'leaves', 'color': ['dark-green', 'green']}, {'part': 'branches', 'color': ['brown']}, {'part': 'branch', 'color': ['brown']}]",['full sun'],['Loamy Rocky'],True,True,False,Average,Perennial,"['United States', 'Canada', 'Mexico', 'Central America', 'South America']",Medium,,Low,"The Noble Fir (Abies procera) is an amazing species in many ways. It is a tall and stately tree with a beautiful, conical shape; its symmetrical branches are heavily laden with needles that range from a deep, glossy green to a deep blue-green. It has a thick, scaly bark and splendid foliage that make it an ideal choice for any garden. Its wide, dense growth provides shelter to wildlife, while its strong branches provide it with excellent resistance to windstorms. The Noble Fir is a long-lasting species with impressive longevity, making it a great addition to any landscape. With its majestic form, lush color, and great strength, the Noble Fir is a remarkable species that will enhance any outdoor space. [{'part': 'trunk', 'color': ['brown', 'light-brown', 'white-brown']}, {'part': 'leaves', 'color': ['dark-green', 'green']}, {'part': 'branches', 'color': ['brown']}, {'part': 'branch', 'color': ['brown']}] ['full sun'] ['Loamy Rocky'] True True False Average Perennial ['United States', 'Canada', 'Mexico', 'Central America', 'South America'] Medium Low"
"[""Acer 'Johin'""]",Johin Japanese Maple,"The Johin Japanese Maple (Acer 'Johin') is a one-of-a-kind variety with incredible foliage that's sure to turn heads. It stands out from the crowd with its bright yellow-green colored leaves, framed by a deep green margin. Mature trees usually have a beautiful, gnarled trunk, making it an ideal choice for bonsai enthusiasts. In the spring, its delicate white flowers add an extra layer of beauty, before the dramatic autumn hues of red, yellow and orange set in. It's an easy-to-care-for, slow-growing tree that becomes even more stunning with age. Perfect for home gardens, patio or courtyard spaces, it's no wonder the Johin Japanese Maple is so popular.","[{'part': 'leaves', 'color': ['bright-red']}, {'part': 'veins', 'color': ['yellow']}, {'part': 'stems', 'color': ['red']}]","['full sun', 'part shade']",,True,False,False,Average,Perennial,['Japan'],Medium,,Low,"The Johin Japanese Maple (Acer 'Johin') is a one-of-a-kind variety with incredible foliage that's sure to turn heads. It stands out from the crowd with its bright yellow-green colored leaves, framed by a deep green margin. Mature trees usually have a beautiful, gnarled trunk, making it an ideal choice for bonsai enthusiasts. In the spring, its delicate white flowers add an extra layer of beauty, before the dramatic autumn hues of red, yellow and orange set in. It's an easy-to-care-for, slow-growing tree that becomes even more stunning with age. Perfect for home gardens, patio or courtyard spaces, it's no wonder the Johin Japanese Maple is so popular. [{'part': 'leaves', 'color': ['bright-red']}, {'part': 'veins', 'color': ['yellow']}, {'part': 'stems', 'color': ['red']}] ['full sun', 'part shade'] [] True False False Average Perennial ['Japan'] Medium Low"
